Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,Aid Contribution,Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1900-9002-CPV,1900,9002,,Natural,Climatological,Drought,Drought,,,Cabo Verde,CPV,Western Africa,Africa,Countrywide,,Famine,,,No,No,,,Km2,,,,,1900,,,1900,,,11000,,,,,,,,,,,3.077090909,,,,
1900-9001-IND,1900,9001,,Natural,Climatological,Drought,Drought,,,India,IND,Southern Asia,Asia,Bengal,,,,,No,No,,,Km2,,,,,1900,,,1900,,,1250000,,,,,,,,,,,3.077090909,,,,
1910-9006-BFA,1910,9006,,Natural,Climatological,Drought,Drought,,,Burkina Faso,BFA,Western Africa,Africa,,,,,,,,,,Km2,,,,,1910,,,1914,,,,,,,,,,,,,,3.446341818,,,,
1910-9006-CPV,1910,9006,,Natural,Climatological,Drought,Drought,,,Cabo Verde,CPV,Western Africa,Africa,,,,,,,,,,Km2,,,,,1910,,,1914,,,,,,,,,,,,,,3.446341818,,,,
1910-9006-GMB,1910,9006,,Natural,Climatological,Drought,Drought,,,Gambia (the),GMB,Western Africa,Africa,,,,,,,,,,Km2,,,,,1910,,,1914,,,,,,,,,,,,,,3.446341818,,,,
1910-9006-GNB,1910,9006,,Natural,Climatological,Drought,Drought,,,Guinea-Bissau,GNB,Western Africa,Africa,,,,,,,,,,Km2,,,,,1910,,,1914,,,,,,,,,,,,,,3.446341818,,,,
1911-0018-CAN,1911,18,,Natural,Climatological,Wildfire,Forest fire,,,Canada,CAN,Northern America,Americas,"Cochrane (and Northern Region), Ontario",,,,,,,,1294994,Km2,,,,,1911,7,11,1911,7,11,73,,,200,200,,,,,,,3.446341818,,,,
1919-9006-AIA,1919,9006,,Natural,Climatological,Drought,Drought,,,Anguilla,AIA,Caribbean,Americas,,,,,,,,,,Km2,,,,,1919,,,1923,,,,,,,,,,,,,,6.412657453,,,,
1920-9004-CPV,1920,9004,,Natural,Climatological,Drought,Drought,,,Cabo Verde,CPV,Western Africa,Africa,Countrywide,,Famine,,,,,,,Km2,,,,,1920,,,1920,,,24000,,,,,,,,,,,7.409634908,,,,
1920-9003-CHN,1920,9003,,Natural,Climatological,Drought,Drought,,,China,CHN,Eastern Asia,Asia,North,,,,,,,,,Km2,,,,,1920,,,1920,,,500000,,20000000,,20000000,,,,,,,7.409634908,,,,
