rank,name,revenues,revenue_percent_change,profits,profits_percent_change,assets,market_value,change_in_rank,employees
1,Walmart,572754,0.02,13673,0.01,244860,409795,0,2300000
2,Amazon,469822,0.22,33364,0.56,420549,1658807,0,1608000
3,Apple,365817,0.33,94680,0.65,351002,2849538,0,154000
4,CVS Health,292111,0.09,7910,0.10,232999,132839,0,258000
5,UnitedHealth Group,287597,0.12,17285,0.12,212206,479830,0,350000
6,Exxon Mobil,285640,0.57,23040,0.00,338923,349652,4,63000
7,Berkshire Hathaway,276094,0.13,89795,1.11,958784,779542,1,372000
8,Alphabet,257637,0.41,76033,0.89,359268,1842326,1,156500
9,McKesson,238228,0.03,4539,6.04,65015,45858,2,67500
10,AmerisourceBergen,213989,0.13,1540,0.00,57338,32356,2,40000
11,Costco Wholesale,195929,0.18,5007,0.25,59268,255231,1,288000
12,Cigna,174078,0.09,5365,0.37,154889,76286,1,72963
13,AT&T,168864,0.02,20081,0.00,551622,169262,2,202600
14,Microsoft,168088,0.18,61271,0.38,333779,2311359,1,181000
15,Cardinal Health,162467,0.06,611,0.00,44453,15709,1,46827
16,Chevron,162465,0.72,15625,0.00,239535,317120,11,42595
17,Home Depot,151157,0.14,16433,0.28,71876,309313,1,490600
18,Walgreens Boots Alliance,148579,0.07,2542,4.58,81285,38671,2,258500
19,Marathon Petroleum,141032,0.59,9738,0.00,85373,47758,13,17700
20,Elevance Health,138639,0.14,6104,0.34,97460,118534,3,98200
21,Kroger,137888,0.04,1655,0.36,49086,41496,4,420000
22,Ford Motor,136341,0.07,17937,0.00,257035,67958,1,183000
23,Verizon Communications,133613,0.04,22065,0.24,366596,213837,3,118400
24,JPMorgan Chase,127202,0.02,48334,0.66,3743567,402527,5,271025
25,General Motors,127004,0.04,10019,0.56,244718,63555,3,157000
26,Centene,125982,0.13,1347,0.26,78375,49072,2,72500
27,Meta Platforms,117929,0.37,39370,0.35,165987,605251,7,71970
28,Comcast,116385,0.12,14159,0.34,275905,212246,2,189000
29,Phillips 66,114852,0.75,1317,0.00,55594,41561,19,14000
30,Valero Energy,108332,0.80,930,0.00,57888,41572,23,9804
31,Dell Technologies,106995,0.14,5563,0.71,92735,38164,3,133000
32,Target,106005,0.13,6946,0.59,53811,98134,2,450000
33,Fannie Mae,101543,0.05,22176,0.88,4229166,909,8,7400
34,UPS,97287,0.15,12890,8.60,69405,186817,1,400945
35,Lowe's,96250,0.07,8442,0.45,44640,133761,4,270000
36,Bank of America,93851,0.00,31978,0.79,3169495,332433,7,208248
37,Johnson & Johnson,93775,0.14,20878,0.42,182018,466047,1,141700
38,Archer Daniels Midland,85249,0.33,2709,0.53,56136,50769,13,39979
39,FedEx,83959,0.21,5231,3.07,82777,59971,6,484000
40,Humana,83064,0.08,2933,0.13,44358,55155,1,95500
41,Wells Fargo,82407,0.03,21548,5.53,1948068,184225,4,247848
42,State Farm Insurance,82225,0.04,1281,0.66,325349,0,3,53586
43,Pfizer,81288,0.94,21979,1.29,181476,292385,34,79000
44,Citigroup,79865,0.10,21952,0.99,2291413,105330,11,221768
45,PepsiCo,79474,0.13,7618,0.07,92377,231528,1,309000
46,Intel,79024,0.02,19868,0.05,168406,202636,6,121100
47,Procter & Gamble,76118,0.07,14306,0.10,119307,366272,4,101000
48,General Electric,74196,0.07,6520,2.14,198874,100810,10,168000
49,IBM,72344,0.02,5743,0.03,132001,116928,7,297800
50,MetLife,71080,0.05,6554,0.21,759708,57987,4,43000
51,Prudential Financial,70934,0.24,7724,0.00,937582,44482,4,40916
52,Albertsons,69690,0.12,850,0.82,26598,16064,0,300000
53,Walt Disney,67418,0.03,1995,0.00,203609,249718,3,171000
54,Energy Transfer,67417,0.73,5470,0.00,105963,34497,27,12558
55,Lockheed Martin,67044,0.03,6315,0.08,50873,117648,6,114000
56,Freddie Mac,65898,0.01,12109,0.65,3025586,510,9,7301
57,Goldman Sachs Group,64989,0.22,21635,1.29,1463988,117668,2,43900
58,Raytheon Technologies,64388,0.14,3864,0.00,161404,147641,1,174000
59,HP,63487,0.12,6503,1.29,38610,38237,3,51000
60,Boeing,62286,0.07,4202,0.00,138552,113059,6,142000
61,Morgan Stanley,61121,0.17,15034,0.37,1188140,155686,0,74814
62,HCA Healthcare,58752,0.14,6956,0.85,50742,75692,0,244000
63,AbbVie,56197,0.23,11542,1.50,146529,286332,5,50000
64,Dow,54968,0.43,6311,4.15,62990,46840,18,35700
65,Tesla,53823,0.71,5519,6.66,62131,1113708,35,99290
66,Allstate,53228,0.19,1599,0.71,99440,38554,4,54500
67,AIG,52057,0.19,9388,0.00,596112,50608,5,36600
68,Best Buy,51761,0.10,2454,0.37,17504,20473,2,81375
69,Charter Communications,51682,0.08,4654,0.44,142491,112803,5,93700
70,Sysco,51298,0.03,524,1.43,21414,41433,10,57710
71,Merck,51216,0.07,13049,0.85,105694,207401,6,67500
72,New York Life Insurance,51199,0.10,277,0.00,379985,0,5,14344
73,Caterpillar,50971,0.22,6489,1.16,82793,119407,5,107700
74,Cisco Systems,49818,0.01,10591,0.06,97497,231636,11,79500
75,TJX,48550,0.51,3283,35.29,28462,71195,22,340000
76,Publix Super Markets,48394,0.07,4412,0.11,31524,0,7,232000
77,ConocoPhillips,48349,1.51,8079,0.00,90661,129605,79,9900
78,Liberty Mutual Insurance Group,48200,0.10,3068,3.05,156043,0,7,45000
79,Progressive,47702,0.12,3351,0.41,71132,66670,5,49077
80,Nationwide,47376,0.13,1617,0.00,278412,0,4,24134
81,Tyson Foods,47049,0.09,3047,0.48,36309,32488,8,137000
82,Bristol0Myers Squibb,46385,0.09,6994,0.00,109314,155204,7,32200
83,Nike,44538,0.19,5727,1.26,37740,212779,2,73300
84,Deere,44024,0.24,5963,1.17,84114,127457,4,75550
85,American Express,43663,0.14,8060,1.57,188548,141613,2,64000
86,Abbott Laboratories,43075,0.25,7071,0.57,75196,208726,3,113000
