index,movie_title,release_date,genre,MPAA_rating,total_gross,inflation_adjusted_gross
0,Snow White and the Seven Dwarfs,21-Dec-37,Musical,G,"$184,925,485 ","$5,228,953,251 "
1,Pinocchio,9-Feb-40,Adventure,G,"$84,300,000 ","$2,188,229,052 "
2,Fantasia,13-Nov-40,Musical,G,"$83,320,000 ","$2,187,090,808 "
3,Song of the South,12-Nov-46,Adventure,G,"$65,000,000 ","$1,078,510,579 "
4,Cinderella,15-Feb-50,Drama,G,"$85,000,000 ","$920,608,730 "
5,"20,000 Leagues Under the Sea",23-Dec-54,Adventure,,"$28,200,000 ","$528,279,994 "
6,Lady and the Tramp,22-Jun-55,Drama,G,"$93,600,000 ","$1,236,035,515 "
7,Sleeping Beauty,29-Jan-59,Drama,,"$9,464,608 ","$21,505,832 "
8,101 Dalmatians,25-Jan-61,Comedy,G,"$153,000,000 ","$1,362,870,985 "
9,The Absent Minded Professor,16-Mar-61,Comedy,,"$25,381,407 ","$310,094,574 "
10,Babes in Toyland,14-Dec-61,Musical,G,"$10,218,316 ","$124,841,160 "
11,Bon Voyage!,17-May-62,Comedy,Not Rated,"$9,230,769 ","$109,581,646 "
12,The Sword in the Stone,25-Dec-63,Adventure,,"$22,182,353 ","$153,870,834 "
13,The Jungle Book,18-Oct-67,Musical,Not Rated,"$141,843,000 ","$789,612,346 "
14,Blackbeard's Ghost,8-Feb-68,Comedy,,"$21,540,050 ","$138,612,686 "
15,The Aristocats,24-Apr-70,Musical,G,"$55,675,257 ","$255,161,499 "
16,The Boatniks,1-Jul-70,Comedy,,"$18,607,492 ","$101,200,742 "
17,Bedknobs and Broomsticks,7-Oct-71,Musical,,"$17,871,174 ","$91,305,448 "
18,The Apple Dumpling Gang,1-Jul-75,Comedy,,"$31,916,500 ","$131,246,872 "
19,Freaky Friday,21-Jan-77,Comedy,,"$25,942,000 ","$98,067,733 "
20,The Many Adventures of Winnie the Pooh,11-Mar-77,,,$0 ,$0 
21,The Rescuers,22-Jun-77,Adventure,,"$48,775,599 ","$159,743,914 "
22,Herbie Goes to Monte Carlo,24-Jun-77,,,"$28,000,000 ","$105,847,527 "
23,The Black Hole,21-Dec-79,,,"$35,841,901 ","$120,377,374 "
24,Midnight Madness,8-Feb-80,,,"$2,900,000 ","$9,088,096 "
25,The Last Flight of Noahâ€™s Ark,25-Jun-80,,,"$11,000,000 ","$34,472,116 "
26,The Devil and Max Devlin,1-Jan-81,,,"$16,000,000 ","$48,517,980 "
27,Amy,20-Mar-81,Drama,,$0 ,$0 
28,The Fox and the Hound,10-Jul-81,Comedy,,"$43,899,231 ","$133,118,889 "
29,Condorman,7-Aug-81,Action,,$0 ,$0 
30,Night Crossing,5-Feb-82,Drama,,"$4,500,000 ","$12,903,059 "
31,Tron,9-Jul-82,Action,,"$26,918,576 ","$77,184,895 "
32,Tex,19-Nov-82,Drama,,"$7,199,408 ","$20,643,199 "
33,Trenchcoat,11-Mar-83,Comedy,,"$4,304,286 ","$11,519,089 "
34,Something Wicked This Way Comes,29-Apr-83,Horror,,"$5,656,087 ","$15,136,765 "
35,Never Cry Wolf,7-Oct-83,Drama,,"$27,668,764 ","$70,669,955 "
36,Running Brave,4-Nov-83,Drama,,"$1,204,595 ","$3,223,725 "
37,Splash,9-Mar-84,Comedy,PG,"$62,599,495 ","$157,057,661 "
38,Country,29-Sep-84,Drama,,"$8,400,000 ","$21,075,000 "
39,Baby: Secret of the Lost Legend,22-Mar-85,Adventure,,"$14,276,095 ","$33,900,697 "
40,Return to Oz,21-Jun-85,Adventure,,"$10,618,813 ","$25,215,934 "
41,The Black Cauldron,24-Jul-85,Adventure,,"$21,288,692 ","$50,553,142 "
42,My Science Project,9-Aug-85,Comedy,,"$4,100,000 ","$9,736,051 "
43,The Journey of Natty Gann,27-Sep-85,Drama,,"$9,468,512 ","$22,302,956 "
44,One Magic Christmas,22-Nov-85,Drama,,"$13,229,514 ","$31,415,432 "
45,Down and Out in Beverly Hills,31-Jan-86,Comedy,R,"$62,134,225 ","$141,183,693 "
46,Off Beat,11-Apr-86,Comedy,,"$4,842,778 ","$11,003,932 "
47,Ruthless People,27-Jun-86,Comedy,R,"$71,624,879 ","$162,748,712 "
48,The Great Mouse Detective,2-Jul-86,Adventure,,"$23,605,534 ","$53,637,367 "
49,Flight of the Navigator,30-Jul-86,Adventure,,"$18,564,613 ","$42,183,197 "
50,Tough Guys,3-Oct-86,Comedy,,"$21,458,229 ","$48,758,184 "
51,The Color of Money,17-Oct-86,Drama,R,"$52,293,000 ","$117,957,323 "
52,Outrageous Fortune,30-Jan-87,Comedy,R,"$52,864,741 ","$113,976,921 "
53,Tin Men,6-Mar-87,Comedy,,"$25,411,386 ","$54,787,202 "
54,Ernest Goes to Camp,22-May-87,Comedy,,"$23,509,382 ","$50,686,462 "
55,Benji the Hunted,5-Jun-87,Adventure,,"$15,212,539 ","$32,798,382 "
56,Adventures in Babysitting,3-Jul-87,Comedy,,"$33,790,923 ","$72,853,569 "
57,Stakeout,5-Aug-87,Comedy,R,"$65,673,233 ","$141,592,160 "
58,Can't Buy Me Love,14-Aug-87,Romantic Comedy,,"$31,623,833 ","$68,181,300 "
59,Hello Again,6-Nov-87,Comedy,,"$20,419,446 ","$44,024,529 "
60,3 Men and a Baby,25-Nov-87,Comedy,PG,"$167,780,960 ","$353,334,607 "
61,Good Morning Vietnam,23-Dec-87,Comedy,R,"$123,922,370 ","$254,414,837 "
62,Shoot to Kill,12-Feb-88,Action,,"$29,300,000 ","$60,097,074 "
63,D.O.A.,18-Mar-88,Thriller/Suspense,,"$12,706,478 ","$26,062,188 "
64,Return to Snowy River,15-Apr-88,Adventure,PG,"$13,687,027 ","$28,073,384 "
65,Big Business,10-Jun-88,Comedy,PG,"$40,150,487 ","$82,352,451 "
66,Who Framed Roger Rabbit?,22-Jun-88,Comedy,PG,"$154,112,492 ","$316,250,084 "
67,Cocktail,29-Jul-88,Drama,R,"$78,222,753 ","$160,442,289 "
68,The Rescue,5-Aug-88,Action,,"$5,855,392 ","$12,009,960 "
69,Heartbreak Hotel,30-Sep-88,Comedy,,"$5,509,417 ","$11,300,331 "
70,The Good Mother,4-Nov-88,Drama,,"$4,764,606 ","$9,772,655 "
71,Ernest Saves Christmas,11-Nov-88,Comedy,PG,"$28,202,109 ","$57,845,202 "
72,Oliver & Company,18-Nov-88,Adventure,G,"$49,576,671 ","$102,254,492 "
73,Beaches,21-Dec-88,Drama,PG-13,"$57,041,866 ","$120,381,757 "
74,Three Fugitives,27-Jan-89,Comedy,PG-13,"$40,590,000 ","$85,757,817 "
75,New York Stories,1-Mar-89,Drama,PG,"$10,763,469 ","$22,740,861 "
76,Disorganized Crime,14-Apr-89,Comedy,,"$7,210,149 ","$15,233,465 "
77,Dead Poets Society,2-Jun-89,Drama,PG,"$95,860,116 ","$202,531,517 "
78,"Honey, I Shrunk the Kids",23-Jun-89,Adventure,PG,"$130,724,172 ","$276,191,669 "
79,Turner & Hooch,28-Jul-89,Comedy,PG,"$71,079,915 ","$150,176,361 "
80,Cheetah,18-Aug-89,Adventure,,"$7,882,250 ","$16,653,473 "
81,An Innocent Man,6-Oct-89,Drama,R,"$19,397,847 ","$40,983,414 "
82,Gross Anatomy,20-Oct-89,Drama,PG-13,"$11,346,186 ","$23,972,012 "
83,The Little Mermaid,15-Nov-89,Adventure,G,"$111,543,479 ","$223,726,012 "
84,Blaze,13-Dec-89,Drama,R,"$19,049,727 ","$39,884,640 "
85,Stella,2-Feb-90,Drama,PG-13,"$20,062,347 ","$40,077,147 "
86,Where the Heart Is,23-Feb-90,Comedy,,"$1,106,475 ","$2,210,321 "
87,Pretty Woman,23-Mar-90,Romantic Comedy,R,"$178,406,268 ","$356,389,765 "
88,Ernest Goes to Jail,6-Apr-90,Comedy,PG,"$25,029,569 ","$49,999,822 "
89,Spaced Invaders,27-Apr-90,Comedy,PG,"$15,000,000 ","$29,964,452 "
90,Fire Birds,24-May-90,Action,PG-13,"$14,760,451 ","$29,485,923 "
91,Dick Tracy,15-Jun-90,Action,PG,"$103,738,726 ","$207,231,621 "
92,Betsy's Wedding,22-Jun-90,Comedy,R,"$19,740,070 ","$39,433,357 "
93,Arachnophobia,18-Jul-90,Thriller/Suspense,PG-13,"$53,208,180 ","$106,290,270 "
94,DuckTales: The Movie - Treasure of thâ€¦,3-Aug-90,Adventure,G,"$18,075,331 ","$36,107,823 "
95,Taking Care of Business,17-Aug-90,Comedy,R,"$20,005,435 ","$39,963,460 "
96,Mr. Destiny,12-Oct-90,Comedy,PG-13,"$15,379,253 ","$30,722,056 "
97,The Rescuers Down Under,16-Nov-90,Adventure,G,"$27,931,461 ","$55,796,728 "
98,3 Men and a Little Lady,21-Nov-90,Comedy,PG,"$71,609,321 ","$143,108,869 "
