"passportArea","weight","firstName","middleName","lastName","currentTeamId","birthDate","height","role","birthArea","wyId","foot","shortName","currentNationalTeamId","birthYear","birthMonth"
"Turkey",78,"Harun",NA,"Tekin",4502,"1989-06-17",187,"Goalkeeper","Turkey",32777,"right","H. Tekin",4687,1989,6
"Senegal",73,"Malang",NA,"Sarr",3775,"1999-01-23",182,"Defender","France",393228,"left","M. Sarr",4423,1999,1
"France",72,"Over",NA,"Mandanda",3772,"1998-10-26",176,"Goalkeeper","France",393230,"unknown","O. Mandanda",NA,1998,10
"Senegal",82,"Alfred John Momar",NA,"N'Diaye",683,"1990-03-06",187,"Midfielder","France",32793,"right","A. N'Diaye",19314,1990,3
"France",84,"Ibrahima",NA,"Konat\u00e9",2975,"1999-05-25",192,"Defender","France",393247,"right","I. Konat\u00e9",NA,1999,5
"Netherlands",83,"Jasper",NA,"Cillessen",676,"1989-04-22",185,"Goalkeeper","Netherlands",33,"right","J. Cillessen",664,1989,4
"Belgium",91,"Toby",NA,"Alderweireld",1624,"1989-03-02",187,"Defender","Belgium",36,"right","T. Alderweireld",5629,1989,3
"Belgium",88,"Jan",NA,"Vertonghen",1624,"1987-04-24",189,"Defender","Belgium",48,"left","J. Vertonghen",5629,1987,4
"France",74,"Alexander",NA,"Djiku",3783,"1994-08-09",182,"Defender","France",229427,"right","A. Djiku",NA,1994,8
"Denmark",76,"Christian ",NA,"Dannemann Eriksen",1624,"1992-02-14",180,"Midfielder","Denmark",54,"right","C. Eriksen",7712,1992,2
"Austria",74,"Marcel",NA,"Sabitzer",2975,"1994-03-17",177,"Midfielder","Austria",65596,"right","M. Sabitzer",NA,1994,3
"Iceland",84,"Kolbeinn",NA,"Sig\u00fe\u00f3rsson",3770,"1990-03-14",186,"Forward","Iceland",66,"right","K. Sig\u00fe\u00f3rsson",NA,1990,3
"France",74,"Charles",NA,"Traor\u00e9",3795,"1992-01-01",180,"Defender","Mali",393284,"left","C. Traor\u00e9",NA,1992,1
"Finland",75,"Niklas",NA,"Moisander",2443,"1985-09-29",183,"Defender","Finland",77,"left","N. Moisander",4849,1985,9
"Cura\\u00e7ao",91,"Charlison",NA,"Benschop",2455,"1989-08-21",191,"Forward","Cura\\u00e7ao",91,"right","C. Benschop",18138,1989,8
"Iceland",77,"Johann ",NA,"Berg Gu\u00f0munds\u00adson",1646,"1990-10-27",186,"Midfielder","Iceland",93,"left","J. Gu\u00f0munds\u00adson",7839,1990,10
"Poland",83,"Przemys\u0142aw",NA,"Tyto\u0144",677,"1987-01-04",194,"Goalkeeper","Poland",99,"right","P. Tyto\u0144",NA,1987,1
"Brazil",85,"Marcelo Ant\u00f4nio",NA,"Guedes Filho",3766,"1987-05-20",191,"Defender","Brazil",102,"right","Marcelo",NA,1987,5
"Cura\\u00e7ao",65,"Jetro",NA,"Willems",2462,"1994-03-30",169,"Defender","Netherlands",110,"left","J. Willems",NA,1994,3
"Iraq",78,"Ali Adnan Kadhim",NA,"Al Tameemi",3163,"1993-12-19",186,"Defender","Iraq",131184,"left","Ali Adnan",17759,1993,12
"Netherlands",78,"Kevin",NA,"Strootman",3158,"1990-02-13",186,"Midfielder","Netherlands",114,"left","K. Strootman",NA,1990,2
"Ghana",78,"Memphis",NA,"Depay",3766,"1994-02-13",176,"Forward","Netherlands",118,"right","M. Depay",664,1994,2
"Belgium",61,"Dries",NA,"Mertens",3187,"1987-05-06",169,"Forward","Belgium",122,"right","D. Mertens",5629,1987,5
"Sweden",78,"Ola",NA,"Toivonen",3780,"1986-07-03",192,"Forward","Sweden",123,"right","O. Toivonen",7047,1986,7
"Netherlands",78,"Stefan",NA,"de Vrij",3162,"1992-02-05",189,"Defender","Netherlands",130,"right","S. de Vrij",NA,1992,2
"Morocco",78,"Karim",NA,"El Ahmadi Al Aroos",16469,"1985-01-27",179,"Midfielder","Netherlands",142,"right","K. El Ahmadi",16216,1985,1
"Sweden",79,"John",NA,"Guidetti",696,"1992-04-15",185,"Forward","Sweden",151,"right","J. Guidetti",7047,1992,4
"Turkey",86,"Volkan",NA,"Babacan",4535,"1988-08-11",192,"Goalkeeper","Turkey",32923,"right","V. Babacan",4687,1988,8
"Netherlands",78,"Jeffrey",NA,"Gouweleeuw",2481,"1991-07-10",188,"Defender","Netherlands",159,"right","J. Gouweleeuw",NA,1991,7
"Serbia",72,"Filip",NA,"\u0110uri\u010di\u0107",3219,"1992-01-30",181,"Midfielder","Serbia",174,"right","F. \u0110uri\u010di\u0107",NA,1992,1
"Slovakia",70,"Peter",NA,"Pekar\u00edk",2457,"1986-10-30",176,"Defender","Slovakia",32959,"right","P. Pekar\u00edk",14496,1986,10
"Serbia",93,"Jago\u0161",NA,"Vukovi\u0107",3194,"1988-06-10",195,"Defender","Serbia",192,"left","J. Vukovi\u0107",NA,1988,6
"Morocco",77,"Nordin",NA,"Amrabat",16470,"1987-03-31",178,"Forward","Netherlands",32968,"right","N. Amrabat",16216,1987,3
"Ivoire""",72,"Christian",NA,"Kouakou Yao",3783,"1991-03-01",182,"Forward","Ivoire""",131321,"right","C. Kouakou",NA,1991,3
"Venezuela",71,"Roberto Jos\u00e9",NA,"Rosales Altuve",683,"1988-11-20",175,"Defender","Venezuela",254,"right","R. Rosales",NA,1988,11
"Morocco",80,"Nacer",NA,"Chadli",1627,"1989-08-02",187,"Midfielder","Belgium",261,"right","N. Chadli",5629,1989,8
"Netherlands",76,"Robin",NA,"Gosens",3172,"1994-06-05",183,"Defender","Germany",295176,"left","R. Gosens",NA,1994,6
"Morocco",78,"Yacine",NA,"Bammou",3770,"1991-09-11",188,"Forward","France",229697,"right","Y. Bammou",NA,1991,9
"France",86,"Florian",NA,"Le Joncour",3783,"1995-02-03",193,"Defender","France",328021,"left","F. Le Joncour",NA,1995,2
"Brazil",78,"Andr\u00e9",NA,"Ramalho Silva",8743,"1992-02-16",182,"Defender","Brazil",65880,"right","Andr\u00e9 Ramalho",NA,1992,2
"Italy",69,"Davide",NA,"Borsellini",3163,"1999-01-04",180,"Goalkeeper","Italy",393566,"left","D. Borsellini",NA,1999,1
"Nigeria",81,"Leon-Aderemi",NA,"Balogun",1651,"1988-06-28",190,"Defender","Germany",16443,"right","L. Balogun",16823,1988,6
"Ghana",70,"Godfred",NA,"Donsah",3166,"1996-06-07",175,"Midfielder","Ghana",295273,"right","G. Donsah",17527,1996,6
"Korea Republic",82,"Hyun-Jun",NA,"Suk",3795,"1991-06-29",190,"Forward","Korea Republic",382,"right","Suk Hyun-Jun",NA,1991,6
"Serbia",76,"Du\u0161an",NA,"Tadi\u0107",9,"1988-11-20",181,"Midfielder","Serbia",383,"left","D. Tadi\u0107",17322,1988,11
"Netherlands",80,"Bram",NA,"Nuytinck",3163,"1990-05-04",190,"Defender","Netherlands",394,"left","B. Nuytinck",NA,1990,5
"Denmark",78,"Lasse",NA,"Sch\u00f6ne",9,"1986-05-27",177,"Midfielder","Denmark",405,"right","L. Sch\u00f6ne",7712,1986,5
"Gambia",56,"Ablie",NA,"Jallow",3777,"1998-11-14",166,"Midfielder","Gambia",376908,"left","A. Jallow",NA,1998,11
"Romania",75,"Bogdan Sorin",NA,"Stancu",4502,"1987-06-28",183,"Forward","Romania",33235,"right","B. Stancu",NA,1987,6
"Switzerland",90,"Gregor",NA,"Kobel",2482,"1997-12-06",194,"Goalkeeper","Switzerland",328190,"right","G. Kobel",NA,1997,12
"Congo DR",80,"Denis Lemi",NA,"Zakaria Lako Lado",2454,"1996-11-20",191,"Midfielder","Switzerland",360992,"right","D. Zakaria",6697,1996,11
"Netherlands",76,"Marten",NA,"de Roon",3172,"1991-03-29",185,"Midfielder","Netherlands",625,"right","M. de Roon",NA,1991,3
"England",75,"Alex",NA,"Iwobi",1609,"1996-05-03",180,"Midfielder","Nigeria",230020,"right","A. Iwobi",16823,1996,5
"Italy",77,"Lorenzo",NA,"Pellegrini",3158,"1996-06-19",186,"Midfielder","Italy",328333,"right","L. Pellegrini",3757,1996,6
"Algeria",75,"Mohamed Salim",NA,"Fares",3194,"1996-02-15",183,"Forward","France",328336,"left","M. Fares",NA,1996,2
"Brazil",73,"Ot\u00e1vio Henrique",NA,"Passos Santos",3772,"1994-05-04",176,"Midfielder","Brazil",295569,"right","Ot\u00e1vio",NA,1994,5
"Argentina",72,"Hern\u00e1n Dar\u00edo",NA,"Toledo",714,"1996-01-17",180,"Forward","Argentina",393881,"right","H. Toledo",NA,1996,1
"Japan",78,"Maya",NA,"Yoshida",1619,"1988-08-24",189,"Defender","Japan",703,"right","M. Yoshida",12913,1988,8
"Congo",78,"Bryan",NA,"Passi",3787,"1997-08-05",189,"Defender","France",426692,"right","B. Passi",NA,1997,8
"Ivoire""",73,"Hamza",NA,"Mendyl",2449,"1997-10-21",179,"Defender","Morocco",426702,"left","H. Mendyl",16216,1997,10
"France",70,"Anthony",NA,"Caci",3779,"1997-07-01",184,"Midfielder","France",426714,"right","A. Caci",NA,1997,7
"Spain",77,"Miguel \u00c1ngel",NA,"Guerrero Mart\u00edn",712,"1990-07-12",182,"Forward","Spain",5481,"right","Guerrero",NA,1990,7
"Slovakia",75,"R\u00f3bert",NA,"Maz\u00e1\u0148",692,"1994-02-09",180,"Defender","Slovakia",786,"left","R. Maz\u00e1\u0148",14496,1994,2
"France",71,"Martin",NA,"Terrier",3779,"1997-03-04",183,"Forward","France",394006,"right","M. Terrier",4425,1997,3
"France",75,"Th\u00e9odore",NA,"Efouba Ayissi",NA,"1997-05-05",184,"Defender","Cameroon",394008,"right","T. Efouba Ayissi",NA,1997,5
"Nigeria",72,"Tyronne",NA,"Ebuehi",9607,"1995-12-16",187,"Defender","Netherlands",332821,"right","T. Ebuehi",16823,1995,12
"France",65,"Patrick",NA,"Burner",3775,"1996-04-11",170,"Defender","Martinique",328488,"right","P. Burner",NA,1996,4
"France",64,"Samuel",NA,"Grandsir",3795,"1996-08-14",168,"Forward","France",295761,"right","S. Grandsir",4425,1996,8
"Spain",0,"V\u00edctor",NA,"L\u00f3pez Ib\u00e1\u00f1ez",696,"1997-05-12",0,"Defender","Spain",404285,"right","V\u00edctor L\u00f3pez",NA,1997,5
"Ivoire""",65,"Jean Micha\u00ebl",NA,"Seri",3775,"1991-07-19",168,"Midfielder","Ivoire""",131959,"right","J. Seri",NA,1991,7
"Spain",77,"Gerard",NA,"Gumbau Garriga",712,"1994-12-18",187,"Midfielder","Spain",263091,"left","Gumbau",NA,1994,12
"Spain",68,"Pablo",NA,"Maffeo Becerra",756,"1997-07-12",173,"Defender","Spain",263105,"right","Pablo Maffeo",1604,1997,7
"Poland",78,"Artur",NA,"J\u0119drzejczyk",13505,"1987-11-04",189,"Defender","Poland",99381,"right","A. J\u0119drzejczyk",13869,1987,11
"Poland",75,"Maciej",NA,"Rybus",13887,"1989-08-19",173,"Defender","Poland",99391,"left","M. Rybus",13869,1989,8
"Poland",82,"Marcin",NA,"Kami\u0144ski",2445,"1992-01-15",192,"Defender","Poland",99410,"left","M. Kami\u0144ski",NA,1992,1
"Austria",76,"Karim",NA,"Onisiwo",2460,"1992-03-17",188,"Midfielder","Austria",66654,"right","K. Onisiwo",NA,1992,3
"Russia",81,"Artjoms",NA,"Rud\u0146evs",NA,"1988-01-13",183,"Forward","Latvia",99425,"left","A. Rud\u0146evs",NA,1988,1
"Poland",83,"\u0141ukasz",NA,"Skorupski",3158,"1991-05-05",190,"Goalkeeper","Poland",99430,"right","\u0141. Skorupski",NA,1991,5
"Poland",76,"Pawe\u0142",NA,"Olkowski",2463,"1990-02-13",184,"Defender","Poland",99437,"right","P. Olkowski",NA,1990,2
"Poland",78,"Arkadiusz",NA,"Milik",3187,"1994-02-28",186,"Forward","Poland",99452,"left","A. Milik",13869,1994,2
"Burkina Faso",72,"Pr\u00e9juce Niguimb\u00e9",NA,"Nakoulma",NA,"1987-04-21",178,"Forward","Burkina Faso",99453,"right","P. Nakoulma",NA,1987,4
"Italy",76,"Gianluca",NA,"Pegolo",3315,"1981-03-25",183,"Goalkeeper","Italy",20771,"left","G. Pegolo",NA,1981,3
"Poland",72,"Mariusz",NA,"St\u0119pi\u0144ski",3165,"1995-05-12",183,"Forward","Poland",99511,"right","M. St\u0119pi\u0144ski",NA,1995,5
"Croatia",89,"Duje",NA,"\u0106aleta-Car",3771,"1996-09-17",192,"Defender","Croatia",230626,"right","D. \u0106aleta-Car",9598,1996,9
